호선,역명,호기,승강기번호,설치위치,운행구간,운행방향
8,암사,3,1801-964,"4번 출구 측, B1-1F",B1-1F,상행
8,암사,4,1801-965,"4번 출구 측, 1F-B1",1F-B1,하행
8,강동구청,1,1808-897,"대합실(B2-B1), B2-B1",B2-B1,상행
8,강동구청,2,1808-898,"대합실(B2-B1), B1-B2",B1-B2,하행
8,강동구청,3,1808-899,"1번 출구 측, B1-BM",B1-BM,상행
8,강동구청,4,1808-900,"2번 출구 측, B1-BM",B1-BM,상행
8,강동구청,5,1805-220,"4번 출구 측, B1-BM",B1-BM,상행
8,몽촌토성,1,1806-991,"대합실(B2, E/L 앞), B2-B1",B2-B1,상행
8,몽촌토성,2,1806-992,"대합실(B2, E/L 앞), B1-B2",B1-B2,하행
8,몽촌토성,3,1806-993,"1번 출구 측, B1-BM",B1-BM,상행
8,몽촌토성,4,1806-994,"1번 출구 측, BM-B1",BM-B1,하행
8,몽촌토성,5,1806-995,"2,3번 출구 사이, BM-B1",BM-B1,하행
8,몽촌토성,6,1806-996,"2,3번 출구 사이, B1-BM",B1-BM,상행
8,몽촌토성,7,1806-997,"5번 출구 측, BM-1F",BM-1F,상행
8,몽촌토성,8,1806-998,"5번 출구 측, 1F-BM",1F-BM,하행
8,잠실,1,1805-625,"9번 출구 측, B1-BM",B1-BM,상행
8,잠실,2,1807-889,"대합실(9.10번출구 사이), B2-B1",B2-B1,상행
8,잠실,3,1807-890,"대합실(9.10번출구 사이), B1-B2",B1-B2,하행
8,잠실,4,1809-593,"고객 안전실, B2-B1",B2-B1,상행
8,잠실,5,1809-594,"고객 안전실, B1-B2",B1-B2,하행
8,송파,1,1811-794,"3번 출구 측, B1-1F",B1-1F,상행
8,송파,2,1811-795,"3번 출구 측, 1F-B1",1F-B1,하행
8,송파,3,1811-796,"4번 출구 측, B1-1F",B1-1F,상행
8,송파,4,1811-797,"4번 출구 측, 1F-B1",1F-B1,하행
8,가락시장,1,1805-681,"환승통로(암사방면 승강장), B3-B2",B3-B2,상행
8,가락시장,2,1805-682,"환승통로(암사방면 승강장), B2-B3",B2-B3,하행
8,가락시장,3,1805-683,"환승통로(모란방면 승강장), B3-B2",B3-B2,상행
8,가락시장,4,1805-684,"환승통로(모란방면 승강장), B2-B3",B2-B3,하행
8,가락시장,5,1802-926,"1번 출구 측, B1-1F",B1-1F,상행
8,가락시장,6,1802-927,"1번 출구 측, 1F-B1",1F-B1,하행
8,가락시장,7,1805-685,"2번 출구 측, B1-1F",B1-1F,상행
8,가락시장,8,1805-686,"2번 출구 측, 1F-B1",1F-B1,하행
8,가락시장,9,1805-687,"5번 출구 측, B1-1F",B1-1F,상행
8,가락시장,10,1805-688,"5번 출구 측, 1F-B1",1F-B1,하행
8,가락시장,11,1805-689,"6번 출구 측, B1-1F",B1-1F,상행
8,가락시장,12,1805-690,"6번 출구 측, 1F-B1",1F-B1,하행
8,문정,1,1811-192,"2번 출구 측, B1-1F",B1-1F,상행
8,문정,2,1811-191,"2번 출구 측, 1F-B1",1F-B1,하행
8,문정,3,1811-841,"3번 출구 측, B2-1F",B2-1F,상행
8,문정,4,1811-842,"3번 출구 측, 1F-B2",1F-B2,하행
8,문정,5,1811-843,"4번 출구 측, B1-BM",B1-BM,상행
8,문정,6,1811-844,"4번 출구 측, BM-B1",BM-B1,하행
8,문정,7,1811-845,"4번 출구 측, BM-1F",BM-1F,상행
8,문정,8,1811-846,"4번 출구 측, 1F-BM",1F-BM,하행
8,장지,1,1805-661,"대합실, BM-B1",BM-B1,하행
8,장지,2,1805-662,"대합실, BM-B1",BM-B1,하행
8,장지,3,1805-663,"대합실, B1-BM",B1-BM,상행
8,장지,4,1805-664,"대합실, B1-BM",B1-BM,상행
8,장지,5,1805-665,"3번 출구 측, 1F-BM",1F-BM,하행
8,장지,6,1805-666,"3번 출구 측, BM-1F",BM-1F,상행
8,복정,1,1802-951,"장지 방면4-2, 남위례 방면3-2, B2-B1",B2-B1,상행
8,복정,2,1802-952,"2번 출구 측, 1F-BM",1F-BM,하행
8,복정,3,1802-953,"2번 출구 측, BM-1F",BM-1F,상행
8,남위례,1,3813-889,"1번 출구 측, 1F-2F",1F-2F,상행
8,남위례,2,3813-890,"1번 출구 측, 2F-1F",2F-1F,하행
8,남위례,3,3813-891,"대합실, 2F-3F",2F-3F,상행
8,남위례,4,3813-892,"대합실, 3F-2F",3F-2F,하행
8,남위례,5,3813-886,"산성 방면5-1, 3F-2F",3F-2F,하행
8,남위례,6,3813-887,"산성 방면5-1, 2F-3F",2F-3F,상행
8,남위례,7,3813-888,"5번 출구 측, 1F-2F",1F-2F,상행
8,산성,1,3805-435,"남위례 방면1-3, B2-B3",B2-B3,하행
8,산성,2,3805-436,"남위례 방면1-3, B3-B2",B3-B2,상행
8,산성,3,3805-437,"남한산성입구 방면6-2, B2-B3",B2-B3,하행
8,산성,4,3805-438,"남한산성입구 방면6-2, B3-B2",B3-B2,상행
8,산성,5,3802-097,"남위례 방면6-2, B3-B2",B3-B2,상행
8,산성,6,3802-098,"남위례 방면6-2, B2-B3",B2-B3,하행
8,산성,7,3802-099,"남한산성입구 방면1-3, B3-B2",B3-B2,상행
8,산성,8,3802-100,"남한산성입구 방면1-3, B2-B3",B2-B3,하행
8,산성,9,3805-449,"대합실, B1-B2",B1-B2,하행
8,산성,10,3805-439,"대합실, B2-B1",B2-B1,상행
8,산성,11,3805-440,"대합실, B2-B1",B2-B1,상행
8,산성,12,3805-502,"2번 출구 측, 1F-BM",1F-BM,하행
8,산성,13,3805-501,"2번 출구 측, BM-1F",BM-1F,상행
8,남한산성입구,1,3802-079,"1번 출구 측, B1-1F",B1-1F,상행
8,남한산성입구,2,3802-080,"1번 출구 측, 1F-B1",1F-B1,하행
8,남한산성입구,3,3805-603,"대합실, B2-B1",B2-B1,상행
8,남한산성입구,4,3805-604,"대합실, B1-B2",B1-B2,하행
8,단대오거리,1,3802-053,"1번 출구 측, B1-1F",B1-1F,상행
8,단대오거리,2,3802-054,"1번 출구 측, 1F-B1",1F-B1,하행
8,단대오거리,3,3805-601,"대합실, B1-B2",B1-B2,하행
8,단대오거리,4,3805-602,"대합실, B2-B1",B2-B1,상행
8,단대오거리,5,3811-916,"3번 출구 측, B1-1F",B1-1F,상행
8,단대오거리,6,3811-917,"3번 출구 측, 1F-B1",1F-B1,하행
8,모란,1,3802-183,"대합실, B1-B2",B1-B2,하행
8,모란,2,3802-184,"대합실, B2-B1",B2-B1,상행
