철도운영기관,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
서울교통공사,3호선,가락시장,상행,,(B4) 8-3,지하4층,지하2층
서울교통공사,3호선,가락시장,하행,8,(F1)8번 출입구 방면,지상1층,지하2층
서울교통공사,3호선,가락시장,상행,7,(B1)7번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,가락시장,하행,7,(F1)7번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,가락시장,상행,,(B2)B2(대) ,지하2층,지하1층
서울교통공사,3호선,가락시장,하행,,(B1)B2(대) ,지하1층,지하2층
서울교통공사,3호선,가락시장,상행,,(B2)B2(대) ,지하2층,지하1층
서울교통공사,3호선,가락시장,하행,,(B1)B2(대) ,지하1층,지하2층
서울교통공사,3호선,가락시장,상행,,(B4) 7-1,지하4층,지하2층
서울교통공사,3호선,가락시장,하행,,(B2),지하2층,지하4층
서울교통공사,3호선,가락시장,하행,,(B2),지하2층,지하4층
서울교통공사,3호선,가락시장,상행,,(B4) 4-4,지하4층,지하2층
서울교통공사,3호선,가락시장,하행,,(B2),지하2층,지하4층
서울교통공사,3호선,가락시장,상행,,(B4) 6-3,지하4층,지하2층
서울교통공사,3호선,가락시장,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,가락시장,상행,8,(B2)8번 출입구 방면,지하2층,지상1층
서울교통공사,3호선,가락시장,상행,,(B4) 9-4,지하4층,지하2층
서울교통공사,3호선,가락시장,상행,,(B3) 2-1,지하3층,지하2층
서울교통공사,3호선,가락시장,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,가락시장,상행,,(B4) 3-2,지하4층,지하2층
서울교통공사,3호선,가락시장,하행,,(B2),지하2층,지하4층
서울교통공사,3호선,가락시장,상행,,(B4) 5-2,지하4층,지하2층
서울교통공사,3호선,경복궁(정부서울청사),상행,3,(B1)3-1번 출입구 방면 ,지하1층,지상1층
서울교통공사,3호선,경복궁(정부서울청사),하행,3,(F1)3-1번 출입구 방면 ,지상1층,지하1층
서울교통공사,3호선,경복궁(정부서울청사),상행,,(B2)H계단 ,지하2층,지하1층
서울교통공사,3호선,경복궁(정부서울청사),하행,,(B1)H계단 ,지하1층,지하2층
서울교통공사,3호선,경복궁(정부서울청사),하행,,(B2) ,지하2층,지하3층
서울교통공사,3호선,경복궁(정부서울청사),하행,,(B1)E계단 ,지하1층,지하2층
서울교통공사,3호선,경복궁(정부서울청사),상행,,(B2) 3-2,지하2층,지하3층
서울교통공사,3호선,경복궁(정부서울청사),하행,,(B3),지하3층,지하2층
서울교통공사,3호선,경복궁(정부서울청사),상행,,(B3) 2-4,지하3층,지하2층
서울교통공사,3호선,경복궁(정부서울청사),상행,,(B2)E계단 ,지하2층,지하1층
서울교통공사,3호선,경찰병원,하행,,(B1),지하1층,지하2층
서울교통공사,3호선,경찰병원,상행,,(B2) 6-2,지하2층,지하1층
서울교통공사,3호선,경찰병원,하행,,(B1),지하1층,지하2층
서울교통공사,3호선,경찰병원,상행,,(B2) 7-4,지하2층,지하1층
서울교통공사,3호선,경찰병원,하행,,(B1),지하1층,지하2층
서울교통공사,3호선,경찰병원,상행,,(B2) 4-1,지하2층,지하1층
서울교통공사,3호선,경찰병원,하행,,(B1),지하1층,지하2층
서울교통공사,3호선,경찰병원,상행,,(B2) 5-3,지하2층,지하1층
서울교통공사,3호선,경찰병원,하행,,(B1),지하1층,지하2층
서울교통공사,3호선,경찰병원,상행,,(B2) 9-4,지하2층,지하1층
서울교통공사,3호선,경찰병원,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,경찰병원,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,경찰병원,하행,2,(F1)2번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,경찰병원,상행,2,(B1)2번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,경찰병원,하행,,(F1)대합실 ,지상1층,지하1층
서울교통공사,3호선,경찰병원,상행,,(B1)대합실 ,지하1층,지상1층
서울교통공사,3호선,경찰병원,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,경찰병원,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,경찰병원,하행,,(B1),지하1층,지하2층
서울교통공사,3호선,경찰병원,상행,,(B2) 2-1,지하2층,지하1층
서울교통공사,3호선,고속터미널,상행,,(B2)X-20 기둥 좌측,지하2층,지하1층
서울교통공사,3호선,고속터미널,상행,,(B3) 9-2,지하3층,지하2층
서울교통공사,3호선,고속터미널,상행,,(B2)X-22 기둥 우측,지하2층,지하1층
서울교통공사,3호선,고속터미널,하행,,(B1)X-22 기둥 우측,지하1층,지하2층
서울교통공사,3호선,고속터미널,상행,,(B2)X-22 기둥 좌측,지하2층,지하1층
서울교통공사,3호선,고속터미널,하행,,(B1)X-22 기둥 좌측,지하1층,지하2층
서울교통공사,3호선,고속터미널,상행,,(B2)X-20 기둥 우측,지하2층,지하1층
서울교통공사,3호선,고속터미널,하행,,(B1)X-20 기둥 우측,지하1층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,상행,,(B3) 2-3,지하3층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,상행,,(B3) 4-3,지하3층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,상행,,(B3) 7-2,지하3층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,상행,,(B3) 9-2,지하3층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,상행,,(B3) 2-3,지하3층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,상행,,(B3) 4-3,지하3층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,상행,,(B3) 7-2,지하3층,지하2층
서울교통공사,3호선,고속터미널,하행,,(B2),지하2층,지하3층
서울교통공사,3호선,고속터미널,하행,,(B1)X-20 기둥 좌측,지하1층,지하2층
서울교통공사,3호선,교대(법원·검찰청),하행,,(B2),지하2층,지하3층
서울교통공사,3호선,교대(법원·검찰청),상행,,(B3) 3-2,지하3층,지하2층
서울교통공사,3호선,구파발,하행,2,(F1)2번  출입구 방면,지상1층,지하1층
서울교통공사,3호선,구파발,상행,2,(B1)2번  출입구 방면,지하1층,지상1층
서울교통공사,3호선,구파발,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,구파발,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,금호,상행,2,(B1)2번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,금호,하행,2,(F1)2번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,금호,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,금호,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,남부터미널(예술의전당),상행,6,(B1)6번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,남부터미널(예술의전당),하행,6,(F1)6번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,녹번,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,녹번,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,대청,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,대청,상행,6,(B1)6번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,대청,하행,6,(F1)6번 출입구 방면,지상1층,지하1층
서울교통공사,3호선,대청,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,3호선,대치,하행,,(B3),지하3층,지하4층
서울교통공사,3호선,대치,상행,,(B3) 1-1,지하3층,지하2층
