철도운영기관,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
서울교통공사,4호선,길음,상행,2,(B1)2번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,길음,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,길음,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,남태령,상행,,(B3) 8-3,지하3층,지하2층
서울교통공사,4호선,남태령,하행,,(B2),지하2층,지하3층
서울교통공사,4호선,노원,하행,1,(F2)1번 출입구 방면,지상2층,지상1층
서울교통공사,4호선,노원,상행,1,(F1)1번 출입구 방면,지상1층,지상2층
서울교통공사,4호선,동대문,상행,,(B4)노원방향  8-2,지하4층,지하2층
서울교통공사,4호선,동대문,하행,,(B1)4호선연결 ,지하1층,지하2층
서울교통공사,4호선,동대문,하행,,(B2),지하2층,지하4층
서울교통공사,4호선,동대문,하행,8,(F1)8번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,동대문,상행,,(B2)1호선연결 ,지하2층,지하1층
서울교통공사,4호선,동대문,상행,,(B4)노원방향  4-1,지하4층,지하2층
서울교통공사,4호선,동대문,하행,,(B2),지하2층,지하4층
서울교통공사,4호선,동대문,상행,8,(B1)8번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,동대문,하행,9,(F1)9번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,동대문,상행,9,(B1)9번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,동대문역사문화공원,하행,,(B1),지하1층,지하3층
서울교통공사,4호선,동대문역사문화공원,상행,,(B3) 3-1,지하3층,지하1층
서울교통공사,4호선,동대문역사문화공원,하행,,(B2),지하2층,지하3층
서울교통공사,4호선,동대문역사문화공원,상행,,(B3) 6-3,지하3층,지하2층
서울교통공사,4호선,동대문역사문화공원,하행,,(B2),지하2층,지하3층
서울교통공사,4호선,동대문역사문화공원,상행,,(B3) 9-1,지하3층,지하2층
서울교통공사,4호선,명동,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,명동,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,명동,상행,,(B3)B계단 옆,지하3층,지하2층
서울교통공사,4호선,명동,하행,,(B2)A계단 옆,지하2층,지하3층
서울교통공사,4호선,명동,하행,,(B2)B계단 옆,지하2층,지하3층
서울교통공사,4호선,미아,상행,6,(B1)6번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,미아,하행,6,(F1)6번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,미아,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,미아,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,미아,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,미아,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,미아사거리,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,미아사거리,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,사당,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,사당,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,사당,상행,4,(B1)4번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,사당,상행,9,(B1)9번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,사당,하행,,(B2),지하2층,지하3층
서울교통공사,4호선,사당,하행,4,(F1)4번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,사당,하행,9,(F1)9번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,삼각지,상행,5,(B1)5번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,삼각지,상행,2,(B1)2번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,삼각지,하행,2,(F1)2번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,삼각지,하행,5,(F1)5번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,상계,상행,1,(F1)1번 출입구 방면측 ,지상1층,지상2층
서울교통공사,4호선,상계,하행,1,(F2)1번 출입구 방면측 ,지상2층,지상1층
서울교통공사,4호선,서울역,상행,9,(B1)9-1번 출입구 방면(교통섬) ,지하1층,지상1층
서울교통공사,4호선,서울역,하행,9,(F1)9-1번 출입구 방면(교통섬) ,지상1층,지하1층
서울교통공사,4호선,서울역,하행,,(연결통로),,
서울교통공사,4호선,서울역,상행,,(연결통로)당고개방향  1-1,,
서울교통공사,4호선,성신여대입구(돈암),하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,성신여대입구(돈암),상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,성신여대입구(돈암),상행,4,(B1)4번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,성신여대입구(돈암),하행,4,(F1)4번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,수유(강북구청),상행,8,(B1)8번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,수유(강북구청),하행,8,(F1)8번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,수유(강북구청),상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,수유(강북구청),하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,신용산,하행,5,(F1)5번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,신용산,상행,5,(B1)5번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,신용산,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,신용산,상행,4,(B1)4번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,신용산,하행,4,(F1)4번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,신용산,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,신용산,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,신용산,상행,1,(B1)1번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,신용산,하행,1,(F1)1번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,쌍문,하행,3,(F1)3번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,쌍문,상행,3,(B1)3번 출입구 방면,지하1층,지상1층
서울교통공사,4호선,쌍문,하행,4,(F1)4번 출입구 방면,지상1층,지하1층
서울교통공사,4호선,쌍문,상행,2,(B1)2번 출입구 방면,지하1층,지상1층
