철도운영기관,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
서울교통공사,5호선,강동,하행,4,(F1)4번출입구,지상1층,지하1층
서울교통공사,5호선,강동,상행,4,(B1)ES-11,지하1층,지상1층
서울교통공사,5호선,강동,상행,,(B4)ES-8,지하4층,지하3층
서울교통공사,5호선,강동,하행,,(B3)ES-7,지하3층,지하4층
서울교통공사,5호선,강동,상행,,(B4)ES-6,지하4층,지하3층
서울교통공사,5호선,강동,하행,,(B3)ES-5,지하3층,지하4층
서울교통공사,5호선,강동,하행,1,(BM)1번 출입구방면,지하1층,지하1층
서울교통공사,5호선,강동,상행,,(B3)ES-3,지하3층,지하1층
서울교통공사,5호선,강동,상행,,(B3)ES-2,지하3층,지하1층
서울교통공사,5호선,강동,하행,,(B1)ES-1,지하1층,지하3층
서울교통공사,5호선,강동,하행,1,(F1)1번출입구-3,지상1층,지하1층
서울교통공사,5호선,강동,상행,1,(BM)1번 출입구방면,지하1층,지상1층
서울교통공사,5호선,강동,상행,1,(B1)1번출입구방면,지하1층,지하1층
서울교통공사,5호선,강동,하행,,(B1)ES-4,지하1층,지하3층
서울교통공사,5호선,강일,하행,4,(F1)4번출입구(),지상1층,지하2층
서울교통공사,5호선,강일,상행,4,(B2)B2대합실,지하2층,지상1층
서울교통공사,5호선,강일,하행,3,(F1)3번출입구(),지상1층,지하2층
서울교통공사,5호선,강일,상행,3,(B2)B2대합실,지하2층,지상1층
서울교통공사,5호선,강일,하행,1,(F1)1번출입구(),지상1층,지하2층
서울교통공사,5호선,강일,상행,1,(B2)B2대합실,지하2층,지상1층
서울교통공사,5호선,강일,하행,,(B2)B2대합실,지하2층,지하3층
서울교통공사,5호선,강일,상행,,(B3)B3승강장,지하3층,지하2층
서울교통공사,5호선,강일,하행,,(B2)B2대합실,지하2층,지하3층
서울교통공사,5호선,강일,상행,,(B3)B3승강장,지하3층,지하2층
서울교통공사,5호선,강일,하행,,(B2)B2대합실,지하2층,지하3층
서울교통공사,5호선,강일,상행,,(B3)B3승강장,지하3층,지하2층
서울교통공사,5호선,강일,상행,,(B3)B3승강장,지하3층,지하2층
서울교통공사,5호선,강일,하행,,(B2)B2대합실,지하2층,지하3층
서울교통공사,5호선,개롱,하행,3,(F1)ES-1(3출입구),지상1층,지하1층
서울교통공사,5호선,개롱,상행,3,(B1)ES-2(3출입구),지하1층,지상1층
서울교통공사,5호선,거여,상행,2,(B1)B1대합실,지하1층,지하1층
서울교통공사,5호선,거여,상행,5,(B1)B1대합실,지하1층,지하1층
서울교통공사,5호선,고덕,하행,1,(F1)1번출입구,지상1층,지하1층
서울교통공사,5호선,고덕,상행,1,(B1),지하1층,지상1층
서울교통공사,5호선,고덕,하행,1,(BM)1/2번 출입구방면,지하1층,지하1층
서울교통공사,5호선,고덕,상행,4,(B1),지하1층,지상1층
서울교통공사,5호선,고덕,하행,4,(F1)4번출입구,지상1층,지하1층
서울교통공사,5호선,고덕,상행,1,(B1),지하1층,지하1층
서울교통공사,5호선,공덕,상행,4,(B1)B1대합실,지하1층,지상1층
서울교통공사,5호선,공덕,상행,2,(B1)B1대합실,지하1층,지하1층
서울교통공사,5호선,공덕,상행,,(B3),지하3층,지하2층
서울교통공사,5호선,공덕,하행,,(B2),지하2층,지하3층
서울교통공사,5호선,공덕,상행,,(B3),지하3층,지하2층
서울교통공사,5호선,공덕,하행,,(B2),지하2층,지하3층
서울교통공사,5호선,공덕,상행,,(B2),지하2층,지하1층
서울교통공사,5호선,공덕,하행,,(B1),지하1층,지하2층
서울교통공사,5호선,공덕,하행,,(B1),지하1층,지하2층
서울교통공사,5호선,공덕,상행,,(B2),지하2층,지하1층
서울교통공사,5호선,공덕,하행,4,(F1)4번출입구,지상1층,지하1층
서울교통공사,5호선,광나루(장신대),상행,3,(B1)3번출입구-2,지하1층,지상1층
서울교통공사,5호선,광나루(장신대),하행,4,(F1)4번출입구-1,지상1층,지하1층
서울교통공사,5호선,광나루(장신대),상행,4,(B1)4번출입구-2,지하1층,지상1층
서울교통공사,5호선,광나루(장신대),하행,3,(F1)3번출입구-1,지상1층,지하1층
서울교통공사,5호선,광화문(세종문화회관),하행,,(B1),지하1층,지하2층
서울교통공사,5호선,광화문(세종문화회관),상행,,(B2),지하2층,지하1층
서울교통공사,5호선,광화문(세종문화회관),상행,,(B3),지하3층,지하2층
서울교통공사,5호선,광화문(세종문화회관),하행,,(B2),지하2층,지하3층
서울교통공사,5호선,군자(능동),하행,4,(F1)4번출입구-2,지상1층,지하1층
서울교통공사,5호선,군자(능동),상행,1,(B1),지하1층,지상1층
서울교통공사,5호선,군자(능동),하행,5,(F1)5번출입구-2,지상1층,지하1층
서울교통공사,5호선,군자(능동),상행,4,(B1),지하1층,지상1층
서울교통공사,5호선,군자(능동),상행,5,(B1),지하1층,지상1층
서울교통공사,5호선,군자(능동),하행,1,(F1)1번출입구,지상1층,지하1층
서울교통공사,5호선,굽은다리(강동구민회관앞),하행,4,(F1)4번출입구,지상1층,지하1층
서울교통공사,5호선,굽은다리(강동구민회관앞),상행,1,(B1),지하1층,지상1층
서울교통공사,5호선,굽은다리(강동구민회관앞),하행,1,(F1)1번출입구,지상1층,지하1층
서울교통공사,5호선,굽은다리(강동구민회관앞),상행,4,(B1),지하1층,지상1층
서울교통공사,5호선,길동,하행,,(B1),지하1층,지하2층
서울교통공사,5호선,길동,상행,,(B2),지하2층,지하1층
서울교통공사,5호선,길동,상행,3,(B1),지하1층,지하1층
서울교통공사,5호선,김포공항,하행,,(B2)B2대합실,지하2층,지하3층
서울교통공사,5호선,김포공항,상행,3,(B1)롯데몰연결통로지하출입구,지하1층,지상1층
서울교통공사,5호선,김포공항,하행,3,(F1)롯데몰측3번출입구,지상1층,지하1층
