연번,호선,역명,장비종류,호기,승강기번호,운행구간,설치위치
660,7,노원,E/L,4,0153-124,B1-F1,5번출구
661,7,중계,E/L,1,0015-704,B2-B3,승강장
662,7,중계,E/L,2,0019-485,F1-B2,5번출구
663,7,중계,E/L,3,0015-997,F1-B2,3번출구
664,7,하계,E/L,2,0017-579,B1-B3,승강장
665,7,하계,E/L,3,0056-263,F1-B1,1번출구
666,7,하계,E/L,4,0085-031,F1-B1,6번출구
667,7,공릉,E/L,1,0015-705,B2-B4,상행 승강장
668,7,공릉,E/L,2,0015-706,B1-B4,하행 승강장
669,7,공릉,E/L,3,0015-998,F1-B1,2번출구
670,7,태릉입구,E/L,1,0017-918,B1-B4,상행 승강장
671,7,태릉입구,E/L,2,0053-181,F1-B4,하행 승강장
672,7,먹골,E/L,1,0017-580,B2-B3,상행 승강장
673,7,먹골,E/L,2,0017-581,B2-B3,하행 승강장
674,7,먹골,E/L,3,0018-261,F1-B1-B2,2번출구
675,7,중화,E/L,1,0018-259,B1-B2-B3,상행 승강장
676,7,중화,E/L,2,0018-260,B2-B3,하행 승강장
677,7,중화,E/L,3,0056-268,F1-B1,3번출구
678,7,상봉,E/L,1,0019-106,B1-B3,상행 승강장
679,7,상봉,E/L,2,0019-351,B1-B3,하행 승강장
680,7,상봉,E/L,3,0016-030,B2-B3,상행 승강장
681,7,상봉,E/L,4,0016-029,B2-B3,하행 승강장
682,7,상봉,E/L,5,0019-486,F1-B1,3번출구
683,7,면목,E/L,1,0017-577,B1-B3-B4,상행 승강장
684,7,면목,E/L,2,0017-578,B3-B4,하행 승강장
685,7,면목,E/L,3,0018-586,F1-B1,3번출구
686,7,사가정,E/L,1,0017-575,B3-B4,상행 승강장
687,7,사가정,E/L,2,0017-576,B1-B3-B4,하행 승강장
688,7,사가정,E/L,3,0052-631,F1-B1,3번출구
689,7,용마산,E/L,1,0017-574,B3-B4,상행 승강장
690,7,용마산,E/L,2,0017-573,B1-B4,하행 승강장
691,7,용마산,E/L,3,0018-587,F2-B1,1번출구
692,7,중곡,E/L,1,0005-633,B2-B3,상행 승강장
693,7,중곡,E/L,2,0005-634,B2-B3,하행 승강장
694,7,중곡,E/L,3,0003-912,F1-B2,1번출구
695,7,군자,E/L,1,0094-111,F1-B1,7번출구
696,7,어린이대공원,E/L,1,0007-435,B1-B3,상행 승강장
697,7,어린이대공원,E/L,2,0082-420,B1-B3,하행 승강장
698,7,어린이대공원,E/L,3,0007-437,F1-B1,1번출구
699,7,어린이대공원,E/L,4,0051-898,F1-B1,5번출구
700,7,건대입구,E/L,1,0132-928,B2-B3,상행 승강장
701,7,건대입구,E/L,2,0132-929,B2-B3,하행 승강장
702,7,뚝섬유원지,E/L,1,0082-441,F2-F1,1번출구
703,7,뚝섬유원지,E/L,2,0082-442,F3-F2,상행 승강장
704,7,뚝섬유원지,E/L,3,0082-443,F3-F2,하행 승강장
705,7,청담,E/L,1,0056-819,F1-B3,5번출구
706,7,청담,E/L,2,0045-844,F1-B3,10번출구
707,7,강남구청,E/L,1,0011-097,B2-B3,상행 승강장
708,7,강남구청,E/L,2,0011-098,B2-B3,하행 승강장
709,7,학동,E/L,1,0065-989,B2-B3,상행 승강장
710,7,학동,E/L,2,0065-990,B2-B3,하행 승강장
711,7,학동,E/L,3,0078-212,F1-B2,3번출구
712,7,논현,E/L,1,0057-897,B2-B3,상행 승강장
713,7,논현,E/L,2,0057-898,B2-B3,하행 승강장
714,7,논현,E/L,3,0012-777,F1-B2,8번출구
715,7,반포,E/L,1,0078-301,B2-B3,상행 승강장
716,7,반포,E/L,2,0078-302,B2-B3,하행 승강장
717,7,반포,E/L,3,0012-778,F1-B2,6번출구
718,7,반포,E/L,4,0077-428,F1-B2,1번출구
719,7,고속터미널,E/L,1,0009-821,B2-B3,상행 승강장
720,7,고속터미널,E/L,2,0009-822,B2-B3,하행 승강장
721,7,내방,E/L,1,0077-425,B2-B3,상행 승강장
722,7,내방,E/L,2,0077-426,B2-B3,하행 승강장
723,7,내방,E/L,3,0077-427,B1-B2,고객상담실 앞
724,7,내방,E/L,4,0012-779,F1-B1,3번출구
725,7,내방,E/L,5,0087-708,F1-B1,5번출구
726,7,이수,E/L,1,0063-029,B3-B4,상행 승강장
727,7,이수,E/L,2,0063-030,B3-B4,하행 승강장
728,7,이수,E/L,3,0063-031,F1-B3,11번출구
729,7,남성,E/L,1,0091-212,B2-B3,상행 승강장
730,7,남성,E/L,2,0091-213,B2-B3,하행 승강장
731,7,남성,E/L,3,0091-214,F1-B2,3번출구
732,7,남성,E/L,4,0151-564,B3-F1,2번출구
733,7,숭실대입구,E/L,1,0060-933,B2-B6,상행 승강장
734,7,숭실대입구,E/L,2,0060-934,B2-B6,하행 승강장
735,7,숭실대입구,E/L,3,0060-935,F1-B2,2번출구
736,7,숭실대입구,E/L,4,0123-429,F1-B3,3번출구
737,7,상도,E/L,1,0021-574,B2-B3,상행 승강장
738,7,상도,E/L,2,0021-575,B2-B3,하행 승강장
739,7,상도,E/L,3,0021-576,F1-B2,5번 출구측
740,7,장승배기,E/L,1,0022-769,B2-B3,상행 승강장
741,7,장승배기,E/L,2,0022-770,B2-B3,하행 승강장
742,7,장승배기,E/L,3,0022-771,F1-B2,2번출구
743,7,신대방삼거리,E/L,1,0022-772,B2-B3,상행 승강장
744,7,신대방삼거리,E/L,2,0022-773,B2-B3,하행 승강장
745,7,신대방삼거리,E/L,3,0022-522,B1-B2,고객상담실 옆
746,7,신대방삼거리,E/L,4,0022-774,F1-B1,3번출구
747,7,보라매,E/L,1,0021-025,B1-B2,승강장
748,7,보라매,E/L,2,0021-026,F1-B1,6번출구
749,7,신풍,E/L,1,0021-850,B1-B2,상행 승강장
750,7,신풍,E/L,2,0021-851,B1-B2,하행 승강장
751,7,신풍,E/L,3,0021-852,F1-B1,4번출구
752,7,신풍,E/L,4,0097-451,F1-B1,5번출구
753,7,대림,E/L,1,0020-631,B1-B2,상행 승강장
754,7,대림,E/L,2,0020-632,B1-B2,하행 승강장
755,7,대림,E/L,3,0020-633,F1-B1,10번출구
756,7,가산디지털단지,E/L,1,0021-021,B2-B3-B4,상행 승강장
757,7,가산디지털단지,E/L,2,0021-022,B2-B3-B4,하행 승강장
758,7,가산디지털단지,E/L,3,0021-023,B1-B2,지하2층 대합실
759,7,가산디지털단지,E/L,4,0021-024,F1-B1,6번출구
760,7,철산,E/L,1,2026-968,B1-B2,상행 승강장
761,7,철산,E/L,2,2026-969,B1-B2,하행 승강장
762,7,철산,E/L,3,2026-970,F1-B1,1번출구
763,7,철산,E/L,4,2162-470,F1-B1,4번출구
764,7,광명사거리,E/L,1,2026-444,B2-B3,하행 승강장
765,7,광명사거리,E/L,2,2117-998,F1-B2,2번출구
766,7,천왕,E/L,1,0021-226,B1-B2,상행 승강장
767,7,천왕,E/L,2,0021-227,B1-B2,하행 승강장
768,7,천왕,E/L,3,0025-776,F1-B1,3번출구
769,7,천왕,E/L,4,0122-484,F1-B1,2번출구
770,7,온수,E/L,1,0021-618,B1-B2,상행 승강장
771,7,온수,E/L,2,0021-619,B1-B2,하행 승강장
772,7,온수,E/L,3,0021-620,F1-B1,2번출구
773,8,암사,E/L,1,0066-066,B1-B2,시점 승강장
774,8,암사,E/L,2,0066-067,B1-B2,하행 승강장
775,8,암사,E/L,3,0079-858,F1-B1,3번출구
776,8,천호,E/L,1,0077-988,B1-B2,상행 승강장
777,8,천호,E/L,2,0077-989,B1-B2,하행 승강장
778,8,강동구청,E/L,1,0077-745,B2-B3,상행 승강장
779,8,강동구청,E/L,2,0077-746,B2-B3,하행 승강장
780,8,강동구청,E/L,3,0009-742,F1-B2,4번출구
781,8,몽촌토성,E/L,1,0011-276,B2-B3,상행 승강장
782,8,몽촌토성,E/L,2,0011-277,B2-B3,하행 승강장
783,8,몽촌토성,E/L,3,0011-278,B1-B2,지하2층 대합실
784,8,몽촌토성,E/L,4,0075-711,F1-B1,4번출구
785,8,잠실,E/L,1,0087-497,B1-B3,상행 승강장
786,8,잠실,E/L,2,0087-498,B1-B3,하행 승강장
787,8,잠실,E/L,3,0087-499,F1-B1,9번출구
788,8,석촌,E/L,1,0075-712,B1-B2,상행 승강장
789,8,석촌,E/L,2,0075-713,B1-B2,하행 승강장
790,8,석촌,E/L,3,0045-887,F1-B1,1번출구
791,8,송파,E/L,1,0087-791,B1-B2,상행 승강장
792,8,송파,E/L,2,0087-792,B1-B2,하행 승강장
793,8,송파,E/L,3,0046-881,F1-B1,1번출구
794,8,송파,E/L,4,0156-007,B1-1,지하연결통로
795,8,가락시장,E/L,1,0078-551,B1-B2,상행 승강장
796,8,가락시장,E/L,2,0078-553,B1-B2,하행 승강장
797,8,가락시장,E/L,3,0078-555,B2-B3,상행 승강장
798,8,가락시장,E/L,4,0078-554,B2-B3,하행 승강장
799,8,가락시장,E/L,5,0075-714,F1-B2,"1,2번출구"
800,8,가락시장,E/L,6,0078-552,F1-B1,"3,4번출구"
801,8,문정,E/L,1,0077-747,B1-B2,상행 승강장
802,8,문정,E/L,2,0077-748,B1-B2,하행 승강장
803,8,문정,E/L,3,0009-743,F1-B1,2번출구
804,8,장지,E/L,1,0077-861,B1-B2,상행 승강장
805,8,장지,E/L,2,0077-862,B1-B2,하행 승강장
806,8,장지,E/L,3,0009-744,F1-B1,1번출구
807,8,장지,E/L,4,0077-876,F1-B1,3번출구
808,8,복정,E/L,1,0011-754,B1-B3,승강장
809,8,남위례,E/L,1,2249-470,F1-F2,1번출구
810,8,남위례,E/L,2,2249-471,F1-F4,5번출구
811,8,남위례,E/L,3,2249-472,F2-F3,하선 3-4
812,8,산성,E/L,1,2024-722,B2-B3,상행 승강장
813,8,산성,E/L,2,2024-723,B2-B3,하행 승강장
814,8,산성,E/L,3,2024-721,B1-B2,대합실
815,8,산성,E/L,4,2075-288,F1-B1,3번출구
816,8,남한산성입구,E/L,1,2022-967,B2-B3,상행 승강장
817,8,남한산성입구,E/L,2,2231-773,F1-B3,하행 승강장
818,8,단대오거리,E/L,1,2116-586,B1-B3,상행 승강장
819,8,단대오거리,E/L,2,2116-587,B1-B3,하행 승강장
820,8,단대오거리,E/L,3,2116-588,F1-B1,4번출구
821,8,신흥,E/L,1,2022-969,B1-B2,상행 승강장
822,8,신흥,E/L,2,2022-970,B1-B2,하행 승강장
823,8,수진,E/L,1,2116-589,B1-B2,상행 승강장
824,8,수진,E/L,2,2116-590,B1-B2,하행 승강장
825,8,수진,E/L,3,2212-625,B1-F1,3번출구
826,8,모란,E/L,1,2116-583,B1-B3,상행 승강장
827,8,모란,E/L,2,2116-584,B2-B3,종점 승강장
828,8,모란,E/L,3,2116-585,F1-B1,11번출구
