철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량(kg)
서울교통공사,4호선,길음,,(B1-B2)섬식(상)6-1,13 ,1000
서울교통공사,4호선,길음,5 ,(B1-F1)5번 출입구측,13 ,1000
서울교통공사,4호선,길음,3 ,(B1-F1)3-4번 출입구사이,15 ,1000
서울교통공사,4호선,남태령,,(B3-B2)섬식(상) 3-3,11 ,750
서울교통공사,4호선,남태령,,(B1-B2)1번 출입구측,13 ,1000
서울교통공사,4호선,남태령,2 ,(B1-F1)2번 출입구측,15 ,1000
서울교통공사,4호선,노원,,(F2-F3) 8-4,15 ,1000
서울교통공사,4호선,노원,,(F2-F3) 3-1,15 ,1000
서울교통공사,4호선,노원,2 ,(F1-F2)2번 출입구측,15 ,1000
서울교통공사,4호선,노원,9 ,(F1-F2)9번 출입구측,15 ,1000
서울교통공사,4호선,당고개,,(F2-F3) 6-1,13 ,1000
서울교통공사,4호선,당고개,,(F2-F3) 5-4,15 ,1000
서울교통공사,4호선,당고개,1 ,(F1-F2)1-4번 출입구사이,15 ,1000
서울교통공사,4호선,동대문,,(B4-B1)섬식(상)6-3,15 ,1000
서울교통공사,4호선,동대문,9 ,(B1-F1)9번 출입구측,15 ,1000
서울교통공사,4호선,동대문역사문화공원,,(B3-B1)섬식(상)4-4,13 ,900
서울교통공사,4호선,동작(현충원),,(F2-F3) 7-4,10 ,750
서울교통공사,4호선,동작(현충원),,(F1-F3) 4-4,11 ,750
서울교통공사,4호선,명동,1 ,(B1-F1)1번 출입구,15 ,1000
서울교통공사,4호선,명동,,(B4-B1),10 ,750
서울교통공사,4호선,미아,,(B1-B2) 8-2,11 ,900
서울교통공사,4호선,미아,,(B1-B2) 3-4,11 ,900
서울교통공사,4호선,미아,1 ,(B1-F1)1-2번 출입구사이,15 ,1000
서울교통공사,4호선,미아사거리,,(B1-B2) 3-1,13 ,900
서울교통공사,4호선,미아사거리,,(B1-B2) 8-3,12 ,900
서울교통공사,4호선,사당,,(B3-B1)섬식(상)09-2,13 ,900
서울교통공사,4호선,사당,9 ,(B1-F1)9-10번 출입구사이,15 ,1000
서울교통공사,4호선,삼각지,,(B1-B2) 4-3,15 ,1000
서울교통공사,4호선,삼각지,,(B1-B2) 7-2,15 ,1000
서울교통공사,4호선,삼각지,1 ,(B1-F1)1-2번 출입구 사이,15 ,1000
서울교통공사,4호선,삼각지,5 ,(B1-F1)5-6번 출입구 사이,15 ,1000
서울교통공사,4호선,삼각지,3 ,(B1-F1)3번 출입구,15 ,1000
서울교통공사,4호선,상계,1 ,(F1-F2)1-2번 출입구측,15 ,1000
서울교통공사,4호선,서울역,,(B1-B2)섬식(상) 9-1,13 ,1000
