지하철역ID,역명,호선,엘리베이터유무,휘체어리프트유무,유아수유방유무,운임_비운임지역
2563,미사,5,Y,N,1,비운임
2564,하남풍산,5,Y,N,1,비운임
2565,하남시청,5,Y,N,1,비운임
2566,하남검단산,5,Y,N,1,비운임
2611,응암,6,Y,N,1,운임
2612,역촌,6,Y,N,0,
2613,불광,6,Y,Y,1,운임
2614,독바위,6,Y,N,0,
2615,연신내,6,Y,N,0,
2616,구산,6,Y,Y,0,
2617,새절,6,Y,Y,0,
2618,증산,6,Y,N,0,
2619,디지털미디어시티,6,Y,Y,0,
2620,월드컵경기장,6,Y,N,1,운임
2621,마포구청,6,Y,Y,0,
2622,망원,6,Y,N,0,
2623,합정,6,Y,Y,1,운임
2624,상수,6,Y,N,0,
2625,광흥창,6,Y,Y,0,
2626,대흥,6,Y,Y,1,운임
2627,공덕,6,Y,Y,1,
2628,효창공원앞,6,Y,Y,0,
2629,삼각지,6,Y,Y,1,비운임
2630,녹사평,6,Y,N,0,
2631,이태원,6,Y,N,1,운임
2632,한강진,6,Y,N,0,
2633,버티고개,6,Y,N,0,
2634,약수,6,Y,N,1,운임
2635,청구,6,Y,N,1,
2636,신당,6,Y,Y,0,
2637,동묘앞,6,Y,Y,1,운임
2638,창신,6,Y,N,0,
2639,보문,6,Y,N,0,
2640,안암,6,Y,N,1,운임
2641,고려대,6,Y,N,0,
2642,월곡,6,Y,Y,0,
2643,상월곡,6,Y,Y,1,운임
2644,돌곶이,6,Y,N,0,
2645,석계,6,Y,Y,0,
2646,태릉입구,6,Y,N,1,
2647,화랑대,6,Y,N,0,
2648,봉화산,6,Y,Y,0,
2649,신내,6,Y,N,0,
2711,장암,7,Y,N,0,
2712,도봉산,7,Y,N,0,
2713,수락산,7,Y,Y,1,비운임
2714,마들,7,Y,Y,0,
2715,노원,7,Y,N,1,운임
2716,중계,7,Y,N,0,
2717,하계,7,Y,N,1,비운임
2718,공릉,7,Y,N,0,
2719,태릉입구,7,Y,N,1,운임
2720,먹골,7,Y,N,0,
2721,중화,7,Y,N,0,
2722,상봉,7,Y,N,0,비운임
2723,면목,7,Y,N,0,
2724,사가정,7,Y,N,0,
2725,용마산,7,Y,N,0,
2726,중곡,7,Y,N,0,
2727,군자,7,Y,N,1,
2728,어린이대공원,7,Y,N,1,비운임
2729,건대입구,7,Y,Y,0,
2730,뚝섬유원지,7,Y,N,1,운임
2731,청담,7,Y,Y,0,
2732,강남구청,7,Y,N,0,
2733,학동,7,Y,N,0,
2734,논현,7,Y,Y,1,운임
2735,반포,7,Y,Y,0,운임
2736,고속터미널,7,Y,Y,1,
2737,내방,7,Y,N,0,
2738,이수,7,Y,Y,1,운임
2739,남성,7,Y,N,0,
2740,숭실대입구,7,Y,N,0,
2741,상도,7,Y,N,0,
2742,장승배기,7,Y,N,0,
2743,신대방삼거리,7,Y,N,0,
2744,보라매,7,Y,N,0,
2745,신풍,7,Y,N,0,
2746,대림,7,Y,Y,1,운임
2747,남구로,7,N,Y,0,
2748,가산디지털단지,7,Y,Y,1,운임
2749,철산,7,Y,N,0,
2750,광명사거리,7,Y,Y,1,비운임
2751,천왕,7,Y,N,0,
2752,온수,7,Y,Y,1,비운임
2811,암사,8,Y,N,0,
2812,천호,8,Y,N,1,
2813,강동구청,8,Y,N,0,
2814,몽촌토성,8,Y,N,1,운임
2815,잠실,8,Y,Y,1,비운임
2816,석촌,8,Y,N,0,
2817,송파,8,Y,N,0,
2818,가락시장,8,Y,N,1,비운임
